ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00612,11640,0.996316360,0.999587799,0.995661605,0.996610431
00627,11640,1.000000000,1.000000000,1.000000000,1.000000000
00638,41980,1.000000000,1.000000000,1.000000000,1.000000000
00676,10380,1.000000000,1.000000000,1.000000000,1.000000000
00719,41980,1.000000000,1.000000000,1.000000000,1.000000000
00730,38660,1.000000000,1.000000000,1.000000000,1.000000000
00757,42180,0.997144276,0.969411765,1.000000000,0.995789966
00791,41980,1.000000000,1.000000000,1.000000000,1.000000000
00784,25020,1.000000000,1.000000000,1.000000000,1.000000000
00783,41980,1.000000000,1.000000000,1.000000000,1.000000000
00901,41980,1.000000000,1.000000000,1.000000000,1.000000000
00925,41980,1.000000000,1.000000000,1.000000000,1.000000000
00926,41980,1.000000000,1.000000000,1.000000000,1.000000000
00966,41980,1.000000000,1.000000000,1.000000000,1.000000000
01450,15764,1.000000000,1.000000000,1.000000000,1.000000000
01501,49340,1.000000000,1.000000000,1.000000000,1.000000000
01474,15764,1.000000000,1.000000000,1.000000000,1.000000000
01505,49340,1.000000000,1.000000000,1.000000000,1.000000000
01464,15764,1.000000000,1.000000000,1.000000000,1.000000000
01460,15764,1.000000000,1.000000000,1.000000000,1.000000000
01524,49340,1.000000000,1.000000000,1.000000000,1.000000000
01506,49340,1.000000000,1.000000000,1.000000000,1.000000000
01540,49340,1.000000000,1.000000000,1.000000000,1.000000000
01590,49340,1.000000000,1.000000000,1.000000000,1.000000000
01583,49340,1.000000000,1.000000000,1.000000000,1.000000000
01570,49340,1.000000000,1.000000000,1.000000000,1.000000000
01603,49340,1.000000000,1.000000000,1.000000000,1.000000000
01720,15764,1.000000000,1.000000000,1.000000000,1.000000000
01719,15764,1.000000000,1.000000000,1.000000000,1.000000000
01760,15764,0.999295594,1.000000000,1.000000000,0.999402628
01756,49340,0.998878085,1.000000000,1.000000000,0.998997326
01778,15764,1.000000000,1.000000000,1.000000000,1.000000000
01775,15764,1.000000000,1.000000000,1.000000000,1.000000000
01834,15764,1.000000000,1.000000000,1.000000000,1.000000000
01841,15764,1.000000000,1.000000000,1.000000000,1.000000000
01862,15764,1.000000000,1.000000000,1.000000000,1.000000000
