UA,UANAME,CBSA,MNAME,MEMI,POPPT,HUPT,AREAPT,AREALANDPT,UAPOP,UAHU,UAAREA,UAAREALAND,MPOP,MHU,MAREA,MAREALAND,UAPOPPCT,UAHUPCT,UAAREAPCT,UAAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
04465,"Avenal, CA Urban Cluster",25260,"Hanford-Corcoran, CA Metro Area",1,15486,2402,7912978,7912978,15486,2402,7912978,7912978,152982,43867,3604050863,3598582308,100,100,100,100,10.12,5.48,.22,.22
04519,"Avon, NY Urban Cluster",40380,"Rochester, NY Metro Area",1,4973,2274,10094768,10094768,4973,2274,10094768,10094768,1054323,455397,12613210563,7583793600,100,100,100,100,.47,.5,.08,.13
04549,"Avondale--Goodyear, AZ Urbanized Area",38060,"Phoenix-Mesa-Glendale, AZ Metro Area",1,197041,73521,228051364,227705132,197041,73521,228051364,227705132,4192887,1798501,37810257043,37725129799,100,100,100,100,4.7,4.09,.6,.6
04573,"Avra Valley, AZ Urban Cluster",46060,"Tucson, AZ Metro Area",1,3869,1565,10127102,10127102,3869,1565,10127102,10127102,980263,440909,23799649464,23794311939,100,100,100,100,.39,.35,.04,.04
04587,"Aztec, NM Urban Cluster",22140,"Farmington, NM Metro Area",1,8456,3553,16655569,16352960,8456,3553,16655569,16352960,130044,49341,14344450215,14278776370,100,100,100,100,6.5,7.2,.12,.11
04600,"Bad Axe, MI Urban Cluster",99999,"Not in a metro/micro area",,3490,1719,6458740,6458740,3490,1719,6458740,6458740,,,,,100,100,100,100,,,,
04627,"Bainbridge, GA Urban Cluster",12460,"Bainbridge, GA Micro Area",2,12118,5320,27359246,26708255,12118,5320,27359246,26708255,27842,12125,1613997327,1546584607,100,100,100,100,43.52,43.88,1.7,1.73
04654,"Baker City, OR Urban Cluster",99999,"Not in a metro/micro area",,9518,4498,13184411,13005431,9518,4498,13184411,13005431,,,,,100,100,100,100,,,,
04681,"Bakersfield, CA Urbanized Area",12540,"Bakersfield-Delano, CA Metro Area",1,523994,178519,360801505,358555119,523994,178519,360801505,358555119,839631,284367,21141142333,21061565098,100,100,100,100,62.41,62.78,1.71,1.7
04708,"Bald Knob, AR Urban Cluster",42620,"Searcy, AR Micro Area",2,2517,1151,5870345,5870345,2517,1151,5870345,5870345,77076,32488,2699143661,2680832626,100,100,100,100,3.27,3.54,.22,.22
04762,"Baldwin, WI Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",1,5831,2474,9591428,9591428,5831,2474,9591428,9591428,3279833,1354973,16482106382,15610299031,100,100,100,100,.18,.18,.06,.06
04789,"Baldwin City, KS Urban Cluster",29940,"Lawrence, KS Metro Area",1,4428,1624,5327014,5322577,4428,1624,5327014,5322577,110826,46731,1229302794,1180699859,100,100,100,100,4,3.48,.43,.45
04816,"Ballinger, TX Urban Cluster",99999,"Not in a metro/micro area",,3705,1744,5222696,5222696,3705,1744,5222696,5222696,,,,,100,100,100,100,,,,
04843,"Baltimore, MD Urbanized Area",12580,"Baltimore-Towson, MD Metro Area",1,2145452,914822,1880134054,1814993878,2203663,939420,1922732374,1857113332,2710489,1132251,8041974873,6737801281,97.36,97.38,97.78,97.73,79.15,80.8,23.38,26.94
